Brand,Scope,Reticle,Min Mag,Max Mag,Outer tube ⌀ (mm),Inner tube ⌀ (mm),Weight (oz),Click Value (MRAD),Max Elevation Adj (MRAD),Max Windage Adj (MRAD),FOV@100m Min Mag (m),FOV@100m Max Mag (m),Elevation Feature,Colors,Price
NightForce,ATACR - 7-35x56mm F1,MIL-C F1,7,35,56,34,39.3,0.1,29,17,5,1.1,ZeroStop,BLK | Dark Earth,3800
NightForce,NX8 - 4-32x50mm F1,,4,32,50,30,28.6,0.1,26,20,8.7,1.5,ZeroStop,BLK | Dark Earth,
NightForce,ATACR - 5-25x56mm F1,,5,25,56,34,37.6,0.1,35,23,6.2,1.6,ZeroStop,BLK,
Zero Compromise,ZC840,MPCT1X,8,40,56,36,42.4,0.1,27,12,4.6,1,,BLK,4540
Zero Compromise,ZC527,,5,27,56,36,39.6,0.1,35,20,7,1.5,,BLK | FDE,
